UserID,UTC_Timestamp,SA_Timestamp,View_Year,View_Month,View_Month_Num,View_Day,View_Day_Num,Channel,Duration_Start,Duration_Minutes,Age,Age_Group,Gender,Race,Province,Day_classification
939975,2016-03-31T19:44:00.000Z,2016-03-31T21:44:00.000Z,2016,Mar,3,Thu,5,Channel O,1899-12-31T00:02:45.000Z,42459,41,35-44,male,black,Gauteng,Weekday
939719,2016-03-31T19:33:00.000Z,2016-03-31T21:33:00.000Z,2016,Mar,3,Thu,5,Channel O,1899-12-31T00:02:18.000Z,42459,28,25-34,male,white,Kwazulu Natal,Weekday
930462,2016-03-31T19:26:00.000Z,2016-03-31T21:26:00.000Z,2016,Mar,3,Thu,5,Boomerang,1899-12-31T00:00:44.000Z,42459,31,25-34,male,coloured,Western Cape,Weekday
941220,2016-03-31T19:22:00.000Z,2016-03-31T21:22:00.000Z,2016,Mar,3,Thu,5,Africa Magic,1899-12-31T00:00:28.000Z,42459,37,35-44,male,black,Mpumalanga,Weekday
932000,2016-03-31T19:20:00.000Z,2016-03-31T21:20:00.000Z,2016,Mar,3,Thu,5,CNN,1899-12-31T00:05:16.000Z,42459,46,45-54,male,coloured,Western Cape,Weekday
940545,2016-03-31T19:19:00.000Z,2016-03-31T21:19:00.000Z,2016,Mar,3,Thu,5,Channel O,1899-12-31T00:00:54.000Z,42459,33,25-34,female,black,Gauteng,Weekday
788792,2016-03-31T19:10:00.000Z,2016-03-31T21:10:00.000Z,2016,Mar,3,Thu,5,Cartoon Network,1899-12-31T00:31:48.000Z,42459,36,35-44,female,black,Gauteng,Weekday
939922,2016-03-31T19:01:00.000Z,2016-03-31T21:01:00.000Z,2016,Mar,3,Thu,5,Boomerang,1899-12-31T00:12:51.000Z,42459,34,25-34,male,indian_asian,Eastern Cape,Weekday
2000313,2016-03-31T19:00:00.000Z,2016-03-31T21:00:00.000Z,2016,Mar,3,Thu,5,DStv Events 1,1899-12-31T00:02:05.000Z,42459,27,25-34,male,black,North West,Weekday
2091343,2016-03-31T18:55:00.000Z,2016-03-31T20:55:00.000Z,2016,Mar,3,Thu,5,Channel O,1899-12-31T01:02:36.000Z,42459,34,25-34,male,black,Gauteng,Weekday
